ACQUISITIONDATE,ACRES,ADDRESS,BOROUGH,CLASS,COMMUNITYBOARD,COUNCILDISTRICT,DEPARTMENT,EAPPLY,GISOBJID,GISPROPNUM,GlobalID,JURISDICTION,LOCATION,MAPPED,NAME311,NYS_ASSEMBLY,NYS_SENATE,OBJECTID,OMPPROPID,PARENTID,PERMIT,PERMITDISTRICT,PERMITPARENT,PIP_RATABLE,PRECINCT,RETIRED,SIGNNAME,SUBCATEGORY,TYPECATEGORY,US_CONGRESS,WATERFRONT,ZIPCODE,Location
1994 Aug 19 12:00:00 AM,18.768,20-15 CROSS BAY BOULEVARD,Q,PARK,414,32,Q-14,Broad Channel American Park,"100,000,050",Q467,8213DF2A-63EA-47A5-8A7D-D17E3DEAB62B,DPR,Cross Bay Blvd. bet. W. 20 Rd. and Beach Channel,False,Broad Channel American Park,23,10,"170,965",Q467,Q-14,True,Q-14,Q-14,True,100,False,Broad Channel American Park,Large Park,Recreational Field/Courts,5,True,11693,POINT (-73.82296759665721 40.59650179908593)
1953 May 15 12:00:00 AM,2.944,3001 WEST 27 STREET,B,PARK,313,47,B-13,Poseidon Playground,"100,004,511",B169B,B9A54BE8-2CFD-4579-9801-B361C005B65E,DPR,"Surf Ave. bet. W. 25 St. to W. 27 St., Boardwalk",True,Poseidon Playground,46,23,"170,963",B169B,B-13,True,B-13,B-13,True,60,False,Poseidon Playground,Neighborhood Plgd,Recreational Field/Courts,8,True,11224,POINT (-73.99208308899017 40.57242150020837)
1993 Apr 02 12:00:00 AM,3.351,765 MANIDA STREET,X,PARK,202,17,X-02,Julio Carballo Fields,"100,004,850",X260,91A07DD0-900D-46E1-BA7E-A860A7697C90,DPR,Manida St bet. Spofford Av and Lafayette Av,False,Julio Carballo Fields,84,29,"170,989",X260,X-02,True,X-02,X-02,True,41,False,Julio Carballo Fields,Neighborhood Plgd,Recreational Field/Courts,14,False,10474,POINT (-73.88925495515915 40.81560932032332)
1945 Jun 14 12:00:00 AM,36.81,2692 BAY 49 STREET,B,PARK,313,47,B-13,Coney Island Boat Basin/Six Diamonds,"100,003,967",B166C,701FB291-19B3-4077-878A-778372AA3DE0,DPR,W. 22 St. bet. Bay 56 St. and Shore Pkwy.,False,Coney Island Boat Basin,46,23,"170,962",B166C,B-13,True,B-13,B-13,False,60,False,Coney Island Boat Basin,Large Park,Recreational Field/Courts,11,True,11214,POINT (-73.99169805581263 40.58273985244516)
1981 May 05 12:00:00 AM,6.1,200 CITY ISLAND AV,X,PARK,210,13,X-15,Ambrosini Field,"100,004,813",X253,FDDF3563-F242-42AB-A381-B4D0703FA4CC,DPR,City Island Ave bet. Centre St. and Winter St.,True,Ambrosini Field,82,34,"170,961",X253,X-10,True,X-10,X-10,True,45,False,Ambrosini Field,Neighborhood Plgd,Recreational Field/Courts,14,True,10464,POINT (-73.7836095899458 40.84445733564428)
1972 Aug 02 12:00:00 AM,1.578,,M,PARK,107,6,M-14,Joan Of Arc Park,"100,004,772",M048,2F8CC05F-6C59-41C2-A670-5430BD5698BB,DPR,"Riverside Dr., W. 91 St. To W. 95 St.",False,Joan Of Arc Park,69,47,"170,941",M048,M-14,True,M-14,M-14,False,24,False,Joan Of Arc Park,Neighborhood Park,Neighborhood Park,12,False,"10024, 10025",POINT (-73.97651940178854 40.79427496032665)
1935 May 16 12:00:00 AM,4.14,225 JORALEMON STREET,B,PARK,302,33,B-02,Columbus Park,"100,004,554",B113C,3938E141-6D6D-4040-A016-A9BA4C12B7A0,DPR,"Adam St., Court St., Cadman Plaza West bet. Johnson St. and Fulton St.",True,Columbus Park,52,26,"170,940",B113C,B-02,True,B-02,B-02,True,84,False,Columbus Park,Sitting Area/Triangle/Mall,Neighborhood Park,10,False,11201,POINT (-73.98997589993193 40.693713207413055)
1938 May 05 12:00:00 AM,0.765,,R,PARK,501,49,R-01,Maple Woods,"100,004,653",R032,E01EAC8A-15EE-4458-8116-76B2732EFCCE,DPR,Richmond Rd. bet. Pierce St. and Steuben St.,False,Maple Woods,61,23,"170,956",R032,R-01,False,R-01,R-01,True,120,False,Maple Woods,Undeveloped,Nature Area,11,False,10304,POINT (-74.08812919507048 40.61114166213963)
1965 Feb 23 12:00:00 AM,0.184,,R,PARK,503,51,R-03,Park,"100,004,755",R096,C6F1559A-6F0F-49CF-90EB-C4661E888CB0,DPR,"Drumgoole Rd. W., Edgegrove Ave., Delmar Ave.",True,Park,62,24,"170,955",R096,R-03,False,R-03,R-03,False,123,False,Park,Neighborhood Park,Triangle/Plaza,11,False,10312,POINT (-74.18896885105099 40.5384256832544)
1939 Jun 16 12:00:00 AM,1.195,287 FULTON STREET,B,PARK,302,33,B-02,Korean War Veterans Plaza,"100,004,020",B113B,964D1CF2-DC8E-433E-AF36-DF948A697CD8,DPR,"Cadman Plaza West, Cadman Plaza East bet. Tillary St. and Johnson St.",True,Korean War Veterans Plaza,52,26,"170,939",B113B,B-02,True,B-02,B-02,True,84,False,Korean War Veterans Plaza,Neighborhood Park,Neighborhood Park,10,False,11201,POINT (-73.99051285367817 40.69558477389258)
1937 Jun 02 12:00:00 AM,0.11,344 EAST 141 STREET,X,PARK,201,8,X-01,Alexander's Alley,"100,004,954",X119,39F56F88-8D4E-43B3-AB08-8A82B580C529,DPR,E. 141 St. bet. Willis Ave. and Alexander Ave.,True,Alexander's Alley,84,29,"170,938",X119,X-01,True,X-01,X-01,True,40,False,Alexander's Alley,Neighborhood Park,Neighborhood Park,15,False,10454,POINT (-73.92324381979333 40.81148920606302)
,0.356,200-15 MCLAUGHLIN AV,Q,PARK,408,23,Q-08,McLaughlin Playground,"100,000,044",Q021B,E5D0110C-2E1B-4B7C-B586-A539646AF0F0,DPR,McLaughlin Ave. bet. Sutro St. and Francis Lewis Blvd.,True,McLaughlin Playground,24,11,"170,937",Q021B,Q-08,True,Q-08,Q-08,True,107,False,McLaughlin Playground,Neighborhood Plgd,Playground,5,False,11423,POINT (-73.76625569779203 40.725542916308086)
1984 Mar 09 12:00:00 AM,8.892,3871 POLAR STREET,B,PARK,313,47,B-13,Coney Island Creek Park,"100,004,937",B379,FF377366-3EF2-4E25-A28D-734D974E7ECD,DPR,Bay View Ave. between Sea Gate Ave. and W. 33 St.,False,Coney Island Creek Park,46,23,"170,936",B379,B-13,False,B-13,B-13,True,60,False,Coney Island Creek Park,Large Park,Nature Area,8,True,11224,POINT (-74.00471305949682 40.581642538238)
1998 May 11 12:00:00 AM,0.207,1664 WEEKS AVENUE,X,PARK,204,15,X-04,Garden Of Eden,"100,004,920",X297,B16C2350-320D-49A4-8E84-28072B21F32E,DPR,E 173 St bet. Weeks Av and Monroe Av,False,Garden Of Eden,86,32,"170,935",X297,X-04,True,X-04,X-04,False,44,False,Garden Of Eden,To Be Determined,Garden,15,False,10457,POINT (-73.9073935004193 40.84346310113567)
1973 Dec 30 12:00:00 AM,0.67,750-802 RIVER AV,X,PARK,204,16,X-04,River Avenue Parks,"100,004,862",X348,535FB168-D378-45DC-84FD-1C7CC6538F94,DPR,E 157 St bet. River Av and Gerard Av,True,River Avenue Parks,84,29,"170,934",X348,X-04,True,X-04,X-04,False,44,False,River Avenue Parks,Neighborhood Plgd,Playground,15,False,10451,POINT (-73.92675649863007 40.82582561240238)
1948 Aug 19 12:00:00 AM,0.211,741 1 AVENUE,M,PARK,106,4,M-06,Ralph Bunche Park,"100,004,411",M203B,0F0A647F-477A-42AE-AC57-DCD3C56F07A1,DPR,"1 Ave., bet. E. 42 St. and E. 43 St.",True,Ralph Bunche Park,74,59,"170,933",M203B,M-06,True,M-06,M-06,True,17,False,Ralph Bunche Park,Sitting Area/Triangle/Mall,Triangle/Plaza,12,False,10017,POINT (-73.96979878291413 40.74930362022529)
,0.145,,Q,PARK,412,27,Q-12,South Gate Mall,"100,000,016",Q277,5262E8FE-EC3C-4830-9A1D-F8DF679C2C6C,DPR,Southgate Plaza bet. 140 Ave. and 139 Ave.,False,South Gate Mall,29,"1,014","171,131",Q277,Q-12,False,Q-12,Q-12,True,113,False,South Gate Mall,Sitting Area/Triangle/Mall,Mall,5,False,11413,POINT (-73.75859598592601 40.6733141275741)
2005 Jun 30 12:00:00 AM,0.096,114 WARREN STREET,M,PARK,101,1,M-01,Tribeca Dog Run,"100,004,227",M366,7283E522-6C00-4C65-8BFD-EFD1580D7C70,DPR,Warren St. bet. Greenwich St. and West St.,False,Tribeca Dog Run,66,27,"170,972",M366,M-01,True,M-01,M-01,True,1,False,Tribeca Dog Run,Neighborhood Park,Recreational Field/Courts,10,False,10007,POINT (-74.01209067214975 40.71620373749752)
1931 Dec 16 12:00:00 AM,0.68,356 CHERRY STREET,M,PARK,103,1,M-03,Lillian D Wald Playground,"100,004,990",M064,FC5A0163-55A7-4E29-8C06-E2DDC9E90A64,DPR,"Cherry St, Montgomery St and Gouverneur St",False,Lillian D Wald Playground,65,27,"170,970",M064,M-03,True,M-03,M-03,True,7,False,Lillian D Wald Playground,Neighborhood Plgd,Recreational Field/Courts,10,False,10002,POINT (-73.98440226887679 40.71207631058388)
2009 Dec 30 12:00:00 AM,4.796,88-02 BEACH CHANNEL DRIVE,Q,PARK,414,32,Q-14,Park,"100,005,165",Q499,B2D2C7F4-9254-4E94-9630-2D0F8EACD14E,DPR,Beach Channel Dr. bet. Beach 89 St. Old Beach 88 St.,False,Bay Breeze Park,23,10,"170,952",Q499,Q-14,True,Q-14,Q-14,True,100,False,Bay Breeze Park,Neighborhood Park,Waterfront Facility,5,True,11693,POINT (-73.81446138128246 40.59070736855092)
1995 Sep 14 12:00:00 AM,0.44,1340 NELSON AVENUE,X,PARK,204,16,X-04,Cpl Fischer Park,"100,004,961",X269,A5C10E69-9581-4E41-A120-8322BC0147B4,DPR,W. 170 St. bet. Nelson Ave. and Shakespeare Ave.,True,Cpl Fischer Park,77,29,"170,951",X269,X-04,True,X-04,X-04,True,44,False,Cpl Fischer Park,Undeveloped,Neighborhood Park,15,False,10452,POINT (-73.92306010141957 40.84057483506866)
1950 Sep 28 12:00:00 AM,6.05,199-01 22 AVENUE,Q,PARK,407,19,Q-07,Clearview Park,"100,000,101",Q387B,57C8224F-6AF8-4CE0-B1C0-41DEF7180CD9,DPR,Clearview Exwy. bet. 26 Ave. and 23 Ave.,True,Clearview Park,26,11,"170,950",Q387B,Q-07,True,Q-07,Q-07,True,109,False,Clearview Park,Undeveloped,Nature Area,3,False,11360,POINT (-73.78549545276213 40.777386126328025)
1979 Jul 17 12:00:00 AM,0.12,634 BARRETTO STREET,X,PARK,202,17,X-02,Barretto Park,"100,005,029",X248,47BACA51-4179-4E15-9817-80DA4C09F084,DPR,Barretto St bet. Randall Av and Spoffard Av,False,Barretto Park,84,29,"170,949",X248,X-02,True,X-02,X-02,True,41,False,Barretto Park,Neighborhood Park,Neighborhood Park,14,False,10474,POINT (-73.88862917303712 40.8128448767247)
1960 Jul 28 12:00:00 AM,0.464,81-02 24 AVENUE,Q,PARK,403,22,Q-03,LaGuardia Landing Lights,"100,000,474",Q393E,238EDDD9-4D5B-4950-B222-7398CE1D8CBE,DPR,24 Ave. bet. 81 St. and 82 St.,False,LaGuardia Landing Lights,34,13,"170,948",Q393E,Q-03,False,Q-03,Q-03,True,115,False,LaGuardia Landing Lights,Sitting Area/Triangle/Mall,Undeveloped,14,False,11370,POINT (-73.88762648846574 40.7645823493531)
1951 Jun 12 12:00:00 AM,1.648,150-20 12 AVENUE,Q,PARK,407,19,Q-07,Whitestone Playground,"100,000,006",Q343,743E8120-AE51-41CF-BD4E-F2A865BF18CF,DPR/DOE,"11 Ave., 12 Ave. bet. 152 St. and 154 St.",False,Whitestone Playground,27,11,"170,947",Q343,Q-07,True,Q-07,Q-07,True,109,False,Whitestone Playground,JOP,Jointly Operated Playground,3,False,11357,POINT (-73.80850722813005 40.79204085020257)
1947 Aug 13 12:00:00 AM,1.934,128 PROSPECT STREET,B,PARK,302,"33, 35",B-02,Bridge Park 3,"100,003,710",B223JC,AF286BC6-F06F-4801-8A5F-EDAA7481FF5A,DPR,"Sands St., Prospect St. bet. Bridge St. and Manh. Bridge",True,Bridge Park 3,57,25.26,"171,128",B223JC,B-02,True,B-02,B-02,True,84,False,Bridge Park 3,Neighborhood Plgd,Recreational Field/Courts,7,False,11201,POINT (-73.98567262009013 40.70026842847397)
1976 Feb 05 12:00:00 AM,1.707,1188 ZEREGA AVENUE,X,PARK,209,18,X-09,Castle Hill Little League,"100,004,833",X239,7FF5FC3A-730E-475C-AA73-670C625DB680,DPR,Zerega Av bet. Commerce Av and Gleason Av,True,Castle Hill Little League Field,87,34,"170,969",X239,X-09,True,X-09,X-09,True,43,False,Castle Hill Little League Field,Neighborhood Park,Recreational Field/Courts,14,False,10462,POINT (-73.84404972270238 40.832514118037935)
1934 May 09 12:00:00 AM,0.607,244 6 AVENUE,M,PARK,102,2,M-02,William F. Passannante Ballfield,"100,004,230",M120A,2B5B058D-CE11-4AC0-971D-6A19EA05EBAC,DPR,"W. Houston St., Ave. of Americas, Macdougal St.",False,William F. Passannante Ballfield,66,27,"170,968",M120A,M-02,True,M-02,M-02,True,6,False,William F. Passannante Ballfield,Neighborhood Plgd,Recreational Field/Courts,10,False,10012,POINT (-74.00228231486405 40.7285715206316)
1909 Mar 09 12:00:00 AM,2.49,,X,PARK,202,17,X-02,Joseph Rodman Drake Park & Enslaved African Burial Ground,"100,003,884",X015,3593665B-BB2A-4B98-A97A-8A8E1241C691,DPR,Oak Pt. Ave.  bet. Hunts Pt. Ave. and Longfellow Ave.,True,Joseph Rodman Drake Park & Enslaved African Burial Ground,84,29,"170,946",X015,X-02,True,X-02,X-02,True,41,False,Joseph Rodman Drake Park & Enslaved African Burial Ground,Neighborhood Park,Neighborhood Park,14,False,10474,POINT (-73.88250589546732 40.81029438056417)
1938 Jan 01 12:00:00 AM,2.436,384 ASSER LEVY PLACE,M,PARK,106,4,M-06,Asser Levy Playground,"100,004,766",M164,AE2FE499-25C6-4693-8BF4-0E12E6ABDFB4,DPR,"E. 23 St. To E. 25 St., FDR Drive",True,Asser Levy Playground,74,59,"170,944",M164,M-06,True,M-06,M-06,True,13,False,Asser Levy Playground,Neighborhood Plgd,Community Park,12,False,10010,POINT (-73.97568879385406 40.736434161482094)
1954 Nov 26 12:00:00 AM,3.017,1555 LINDEN BOULEVARD,B,PARK,316,42,B-16,Brownsville Recreation Center Playground,"100,004,643",B270,962F9E16-3C81-4A57-8A39-D7E1C295753D,DPR,"Hegeman Ave., Linden Blvd. bet. Powell St. and Mother Gaston Blvd.",True,Brownsville Playground,60,19,"170,943",B270,B-16,True,B-16,B-16,True,73,False,Brownsville Playground,Neighborhood Plgd,Community Park,8,False,11212,POINT (-73.90238602326309 40.65634306596132)
1940 Dec 16 12:00:00 AM,2.327,,Q,PARK,403,21,Q-03,Overlook Park,"100,000,097",Q299,B18799CC-6A13-45F6-967B-9CC1BF286E35,DPR,"Ditmars Blvd., 22 Dr. bet. 97 St. and 100 St.",True,Overlook Park,35,13,"170,957",Q299,Q-03,True,Q-03,Q-03,True,115,False,Overlook Park,Sitting Area/Triangle/Mall,Nature Area,14,False,11369,POINT (-73.87335582608802 40.77042442436736)
1966 Jul 29 12:00:00 AM,20.867,665 WEST 252 STREET,X,PARK,208,11,X-08,Wave Hill,"100,004,565",X209,6F5A82C2-E859-4914-BEB8-3404D9D9F6DC,DPR/CULT,"W 248 St, Independence Av , W 252 St , P",False,Wave Hill,81,33,"170,927",X209,X-08,True,X-08,X-08,False,50,False,Wave Hill,Large Park,Historic House Park,15,False,10471,POINT (-73.91225618095302 40.89854215212182)
1899 May 05 12:00:00 AM,12.772,319 W 145 STREET,M,PARK,"109,110",9,M-10,Jackie Robinson Park,"100,004,828",M014,59E93518-C380-49CE-ACC9-DB3692686BD8,DPR,"Bradhurst Av and Edgecombe Av, W 145 St To",False,Jackie Robinson Park,71,30,"170,925",M014,M-10,True,M-10,M-10,True,30,False,Jackie Robinson Park,Large Park,Neighborhood Park,13,False,10039,POINT (-73.94152711875114 40.82599647943837)
1924 Apr 19 12:00:00 AM,0.12,4327 ONEIDA AVENUE,X,PARK,212,11,X-13,Rita Ley Triangle,"100,005,204",X096,1CD2385B-92EF-4B7B-8C44-FD996520568E,DPR,"E 238 St, Oneida Av, Van Cortlandt Park E",True,Rita Ley Triangle,81,36,"170,922",X096,X-12,True,X-13,X-12,True,47,False,Rita Ley Triangle,Sitting Area/Triangle/Mall,Triangle/Plaza,15,False,10470,POINT (-73.87311051304242 40.89914726882661)
1913 Jul 23 12:00:00 AM,4.637,2890 SEDGWICK AVENUE,X,PARK,208,14,X-08,Washington's Walk,"100,004,945",X038,3C87FAAB-B0F8-4D6F-BCA1-1A2501450F46,DPR,Resevoir Av bet. Sedgwick Av and Goulden Av,True,Washington's Walk,81,31,"170,921",X038,X-08,False,X-08,X-08,True,50,False,Washington's Walk,Neighborhood Park,Neighborhood Park,13,False,10468,POINT (-73.900887124252 40.87481566348219)
1950 Dec 12 12:00:00 AM,0.275,151 W 230 STREET,X,PARK,208,14,X-08,Siren Slope,"100,004,602",X150G,FF33CD09-BAB9-4CEF-B93F-AFF90E8BAB4E,DPR,"W 230 St, Bailey Av, Major Deegan Exwy",True,Siren Slope,81,31,"170,920",X150G,X-08,True,X-08,X-08,True,50,False,Siren Slope,Sitting Area/Triangle/Mall,Parkway,13,False,10463,POINT (-73.90387213462861 40.87686720869318)
1839 Jan 22 12:00:00 AM,0.573,1841 AMSTERDAM AV,M,PARK,109,7,M-09,Carmansville Playground,"100,003,739",M018,D7F14D64-47C0-4567-97D2-CA0E8B6C175A,DPR,"Amsterdam Av, W 151 St To W 152 St",True,Carmansville Playground,71,30,"170,918",M018,M-09,True,M-09,M-09,True,30,False,Carmansville Playground,Neighborhood Plgd,Playground,13,False,10031,POINT (-73.94423207052341 40.82922433270481)
1938 Apr 19 12:00:00 AM,1.837,88-02 ATLANTIC AVENUE,Q,PARK,409,32,Q-09,London Planetree Playground,"100,000,165",Q128,94A26E3E-DE1B-48F7-8367-832040FC21F0,DPR,"Atlantic Ave., 95 Ave. bet. 88 St., 89 St.",False,London Planetree Playground,38,15,"170,932",Q128,Q-09,True,Q-09,Q-09,True,102,False,London Planetree Playground,Neighborhood Plgd,Neighborhood Park,7,False,11416,POINT (-73.85324221845343 40.686139181995166)
2002 Nov 20 12:00:00 AM,0.172,2061 HONEYWELL AVENUE,X,PARK,206,15,X-06,Daly Ave Garden,"100,003,943",X326,889F28C0-A92C-4558-BB29-A07339B8E344,DPR,E. 179 St. and Honeywell Ave.,False,Daly Ave Garden,87,32,"170,930",X326,X-06,True,X-06,X-06,False,48,False,Daly Ave Garden,Greenthumb,Garden,15,False,10460,POINT (-73.88348407367664 40.84413202748923)
1955 Jun 30 12:00:00 AM,2.58,660 W 237 STREET,X,PARK,208,11,X-08,Riverdale Playground,"100,004,981",X186,7F244898-4EC2-433F-B40C-1BA4A7E682F3,DPR/DOE,Hudson Manor Ter bet. W 237 St and W 236 St,False,Riverdale Playground,81,33,"170,928",X186,X-08,True,X-08,X-08,True,50,False,Riverdale Playground,JOP,Jointly Operated Playground,15,False,10463,POINT (-73.91482068001687 40.88768370382834)
1933 Jun 21 12:00:00 AM,0.15,321 E. FORDHAM RD,X,PARK,207,15,X-07,Bryan Park,"100,003,722",X005,C5667EEB-04F6-4768-AAB4-FD6374A09699,DPR,E. Kingsbridge Rd. at E. Fordham Rd.,True,Bryan Park,78,33,"170,911",X005,X-07,True,X-07,X-07,True,52,False,Bryan Park,Sitting Area/Triangle/Mall,Triangle/Plaza,13,False,10458,POINT (-73.89422501775849 40.86214323274824)
2006 Jan 19 12:00:00 AM,0.115,2502 DAVIDSON AVENUE,X,PARK,207,14,X-07,Davidson Ave. Community Gardeners Group,"100,004,399",X343,B9377F93-D24F-4EDC-8180-CF11C597DE04,DPR,Davidson Ave. at W. 190 St.,False,Davidson Ave. Community Gardeners Group,78,31,"170,910",X343,X-07,True,X-07,X-07,False,52,False,Davidson Ave. Community Gardeners Group,Greenthumb,Garden,13,False,10468,POINT (-73.9008481839739 40.86420835592409)
1936 Aug 24 12:00:00 AM,0.911,2300 Ryer Avenue,X,PARK,205,15,X-05,Slattery Playground,"100,004,208",X085,28615DC1-B458-42EE-8914-2746C4E85FEF,DPR,E. 183 St. bet. Valentine Ave. and Ryer,False,Slattery Playground,86,33,"170,909",X085,X-05,True,X-05,X-05,True,46,False,Slattery Playground,Neighborhood Plgd,Playground,13,False,10458,POINT (-73.89848094050839 40.8573219181888)
1996 Sep 17 12:00:00 AM,0.28,2035-2039 CRESTON AVENUE,X,PARK,205,14,X-05,Mount Hope Garden,"100,004,765",X274,AD817C44-A990-40E8-8BC3-34206B06BD8C,DPR,Creston Ave. bet. E. Burnside Ave. and E,False,Mount Hope Garden,86,33,"170,908",X274,X-05,True,X-05,X-05,True,46,False,Mount Hope Garden,Neighborhood Plgd,Playground,15,False,10453,POINT (-73.9053593130526 40.85255830971914)
1999 Oct 06 12:00:00 AM,0.207,2081 DAVIDSON AVENUE,X,PARK,205,14,X-05,Davidson Playground,"100,004,563",X300,59D19CCF-FDE5-465D-B5C2-414B565225C5,DPR,W. 180 St. bet. Davidson Ave. and Grand,False,Davidson Playground,86,33,"170,907",X300,X-05,True,X-05,X-05,True,46,False,Davidson Playground,Neighborhood Plgd,Playground,13,False,10453,POINT (-73.90770792154906 40.85506062290797)
1979 Jul 17 12:00:00 AM,0.381,2146 GRAND AVENUE,X,PARK,205,14,X-05,Grand Playground,"100,004,206",X244,2A7315E2-BD73-4D60-8099-4FF5BDE061AF,DPR,W. 181 St. bet. Grand Ave. and Davidson,False,Grand Playground,86,33,"170,906",X244,X-05,True,X-05,X-05,True,46,False,Grand Playground,Neighborhood Plgd,Playground,13,False,10453,POINT (-73.90724114381479 40.8559999071852)
2002 Nov 20 12:00:00 AM,0.06,15 BUCHANAN PLACE,X,PARK,205,14,X-05,Jardin De Las Rosas,"100,004,340",X322,3385E91B-ED55-4CC7-8F18-C64EC66EA04B,DPR,Buchanan Pl. bet. Jerome Ave. and Davidso,False,Jardin De Las Rosas,86,33,"170,903",X322,X-05,True,X-05,X-05,False,46,False,Jardin De Las Rosas,Greenthumb,Garden,13,False,10453,POINT (-73.90478818549255 40.85811552106843)
1934 Jun 27 12:00:00 AM,19.749,3324 RESERVOIR OVAL EAST,X,PARK,207,11,X-07,Williamsbridge Oval,"100,003,776",X104,96E7BDE2-763C-4513-9412-E34558E38A1B,DPR,"Van Cortlandt Ave. East, Resevoir Oval E",True,Williamsbridge Oval,81,33,"170,916",X104,X-07,True,X-07,X-07,True,52,False,Williamsbridge Oval,Large Park,Neighborhood Park,15,False,10467,POINT (-73.8773775084195 40.87764522040437)
1964 Jul 15 12:00:00 AM,0.455,3266 BAINBRIDGE AVENUE,X,PARK,207,11,X-07,Valentine Varian House,"100,004,557",X215,B39EBAAD-4361-4DCD-B522-E7907F35107E,DPR,Bainbridge Ave. bet. Van Cortlandt Ave.,True,Valentine Varian House,81,33,"170,915",X215,X-07,True,X-07,X-07,False,52,False,Valentine Varian House,Historic House,Historic House Park,15,False,10467,POINT (-73.87946089663242 40.87735084777652)
2002 Nov 20 12:00:00 AM,0.806,100 VAN CORTLANDT PARK E,X,PARK,207,11,X-07,Risse Street Park,"100,004,400",X335,25DB1191-390A-46D8-A40A-515CB605C2A5,DPR,"Jerome Ave., Mosholu Pkwy, Grand Concour",False,Risse Street Park,80,33,"170,914",X335,X-07,True,X-07,X-07,False,52,False,Risse Street Park,Greenthumb,Neighborhood Park,13,False,10468,POINT (-73.88529421432133 40.87836266586)
1940 Apr 04 12:00:00 AM,15.32,3034 GOULDEN AVENUE,X,PARK,207,11,X-07,Harris Park,"100,004,347",X136,BA2C47EE-F3B4-45E5-9303-24336A845EC9,DPR,Paul Ave. - Goulden Ave. bet. Bedford Par,False,Harris Park,78,31,"170,913",X136,X-07,True,X-07,X-07,True,52,False,Harris Park,Large Park,Neighborhood Park,13,False,10468,POINT (-73.89187869428983 40.87628959821235)
1999 Sep 30 12:00:00 AM,1.13,157 BRONX RIVER AVENUE,X,PARK,209,18,X-09,Park,"100,003,766",X301,5C5BF1EE-CCC7-4306-8D27-BD3DF5728588,DPR,Soundview Ave. at Pugsley Creek Park,False,Park,85,29,"171,101",X301,X-09,False,X-09,X-09,False,43,False,Park,Building,Managed Sites,14,True,10473,POINT (-73.8494638866382 40.80547121719743)
1846 Oct 19 12:00:00 AM,0.21,1 HERALD SQUARE,M,PARK,105,4,M-05,Herald Square,"100,005,089",M036,C58DF934-6CEF-4980-A03C-F3D4F16266F0,DPR,"Broadway, Ave of the Americas, bet. W. 34 St. and W. 35 St.",True,Herald Square,75,28,"170,890",M036,M-05,True,M-05,M-05,True,14,False,Herald Square,Sitting Area/Triangle/Mall,Triangle/Plaza,12,False,10001,POINT (-73.98767588450605 40.750204696880544)
1963 Jan 24 12:00:00 AM,1.377,991 TELLER AVENUE,X,PARK,204,16,X-04,Arcilla Playground,"100,005,160",X219,D2712DFE-4BA1-4745-8F27-5B517FE4AA94,DPR/DOE,E 164 St bet. Teller Av and Clay Av at Park Ave,False,Arcilla Playground,77,32,"170,889",X219,X-04,True,X-04,X-04,True,44,False,Arcilla Playground,JOP,Jointly Operated Playground,15,False,"10451, 10456",POINT (-73.91429330213683 40.827081563628326)
1995 Sep 14 12:00:00 AM,4.72,250-265 EAST 170 STREET,X,PARK,204,16,X-04,Grant Park,"100,005,005",X271,A48348F9-1975-4D6D-AAC6-43F6BCBC13EE,DPR,E 170 St bet. Sheridan Av and Morris Av,False,Grant Park,77,32,"170,888",X271,X-04,True,X-04,X-04,True,44,False,Grant Park,Neighborhood Park,Neighborhood Park,15,False,10456,POINT (-73.91300484853357 40.83686877873096)
1901 May 13 12:00:00 AM,5.829,601 W 52 STREET,M,PARK,104,3,M-04,De Witt Clinton Park,"100,004,485",M022,46876672-6C53-48C6-95AE-354CE5C4A681,DPR,"W. 52 St. To W. 54 St., 11 Ave. To 12 Ave.",True,De Witt Clinton Park,67,47,"170,901",M022,M-04,True,M-04,M-04,True,18,False,De Witt Clinton Park,Neighborhood Plgd,Playground,12,False,10019,POINT (-73.99428948643177 40.76819128230318)
1989 Dec 28 12:00:00 AM,0.618,1751 Anthony Av,X,PARK,205,14,X-05,Cleopatra Playground,"100,004,904",X258,0ADEB119-A98F-4C94-A237-461D3703E605,DPR,Anthony Av bet. Prospect Pl and Ittner Pl,False,Cleopatra Playground,86,32,"170,900",X258,X-05,True,X-05,X-05,True,46,False,Cleopatra Playground,Neighborhood Plgd,Playground,15,False,10457,POINT (-73.90417028801646 40.845513112240766)
1999 May 27 12:00:00 AM,0.61,1631 NELSON AVENUE,X,PARK,205,14,X-05,Half-Nelson Playground,"100,004,976",X295,6193007C-8892-4645-B675-390FEBD0F6BC,DPR,Nelson Av bet. Featherbed La and W 174 St,False,Half-Nelson Playground,77,31,"170,899",X295,X-05,True,X-05,X-05,True,46,False,Half-Nelson Playground,Neighborhood Plgd,Playground,15,False,10453,POINT (-73.91926426924275 40.84681955421583)
1989 Dec 19 12:00:00 AM,0.7,25 EAST 177 STREET,X,PARK,205,14,X-05,Mount Hope Playground,"100,003,775",X257,AF5ED024-6E5B-4036-AE5D-EA4F788CAE74,DPR,E. 177 St. at Walton Ave.,False,Mount Hope Playground,77,33,"170,897",X257,X-05,True,X-05,X-05,True,46,False,Mount Hope Playground,Neighborhood Plgd,Playground,15,False,10453,POINT (-73.90949714488087 40.850244277394985)
